127.0.0.1 - - [16/May/2017:09:22:30 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [16/May/2017:09:25:59 +0800] "GET /hdfs_file_upload/ HTTP/1.1" 200 774
0:0:0:0:0:0:0:1 - - [16/May/2017:09:25:59 +0800] "GET /hdfs_file_upload/wl.png HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [16/May/2017:09:25:59 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [16/May/2017:09:26:05 +0800] "GET /hdfs_file_upload/index.jsp HTTP/1.1" 200 490
0:0:0:0:0:0:0:1 - - [16/May/2017:09:26:17 +0800] "GET /hdfs_file_upload/login HTTP/1.1" 200 1263
0:0:0:0:0:0:0:1 - - [16/May/2017:09:26:17 +0800] "GET /hdfs_file_upload/front/js/jquery.min.js HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [16/May/2017:09:26:17 +0800] "GET /hdfs_file_upload/front/css/bootstrap.min.css HTTP/1.1" 404 1082
0:0:0:0:0:0:0:1 - - [16/May/2017:09:26:17 +0800] "GET /hdfs_file_upload/front/js/bootstrap.min.js HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [16/May/2017:09:26:17 +0800] "GET /hdfs_file_upload/front/js/bootstrap.min.js HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [16/May/2017:09:31:59 +0800] "GET /hdfs_file_upload/login HTTP/1.1" 200 3760
0:0:0:0:0:0:0:1 - - [16/May/2017:09:31:59 +0800] "GET /hdfs_file_upload/front/css/bootstrap.min.css HTTP/1.1" 404 1082
0:0:0:0:0:0:0:1 - - [16/May/2017:09:31:59 +0800] "GET /hdfs_file_upload/bootstrap.min.js HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [16/May/2017:09:31:59 +0800] "GET /hdfs_file_upload/jquery.min.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [16/May/2017:09:31:59 +0800] "GET /hdfs_file_upload/respond.min.js HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [16/May/2017:09:31:59 +0800] "GET /hdfs_file_upload/front/js/jquery.min.js HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [16/May/2017:09:31:59 +0800] "GET /hdfs_file_upload/front/js/bootstrap.min.js HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [16/May/2017:09:32:00 +0800] "GET /hdfs_file_upload/img/1.jpg HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [16/May/2017:09:32:00 +0800] "GET /hdfs_file_upload/img/2.jpg HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [16/May/2017:09:32:00 +0800] "GET /hdfs_file_upload/img/3.jpg HTTP/1.1" 404 1046
