0:0:0:0:0:0:0:1 - - [21/May/2017:15:40:17 +0800] "GET /hdfs_file_upload/ HTTP/1.1" 200 304
0:0:0:0:0:0:0:1 - - [21/May/2017:15:40:18 +0800] "GET /hdfs_file_upload/welcome.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2017:15:40:18 +0800] "GET /hdfs_file_upload/picture_css/1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2017:15:40:18 +0800] "GET /hdfs_file_upload/add HTTP/1.1" 200 774
0:0:0:0:0:0:0:1 - - [21/May/2017:15:40:18 +0800] "GET /hdfs_file_upload/wl.png HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [21/May/2017:15:40:18 +0800] "GET /hdfs_file_upload/login HTTP/1.1" 200 3052
0:0:0:0:0:0:0:1 - - [21/May/2017:15:40:18 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [21/May/2017:15:40:24 +0800] "GET /hdfs_file_upload/bushu HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [21/May/2017:15:40:43 +0800] "GET /hdfs_file_upload/jsp/bushu HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [21/May/2017:15:45:48 +0800] "GET /hdfs_file_upload/bushu HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [21/May/2017:15:45:49 +0800] "GET /hdfs_file_upload/bushu HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [21/May/2017:15:45:50 +0800] "GET /hdfs_file_upload/bushu HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [21/May/2017:15:45:50 +0800] "GET /hdfs_file_upload/bushu HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [21/May/2017:15:45:50 +0800] "GET /hdfs_file_upload/bushu HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [21/May/2017:15:45:50 +0800] "GET /hdfs_file_upload/bushu HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [21/May/2017:15:45:50 +0800] "GET /hdfs_file_upload/bushu HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [21/May/2017:15:45:50 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
127.0.0.1 - - [21/May/2017:15:46:09 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [21/May/2017:15:46:18 +0800] "GET /hdfs_file_upload/bushu HTTP/1.1" 200 286
0:0:0:0:0:0:0:1 - - [21/May/2017:15:48:02 +0800] "GET /hdfs_file_upload/bushu HTTP/1.1" 200 477
0:0:0:0:0:0:0:1 - - [21/May/2017:15:48:54 +0800] "GET /hdfs_file_upload/bushu HTTP/1.1" 200 524
0:0:0:0:0:0:0:1 - - [21/May/2017:15:49:10 +0800] "GET /hdfs_file_upload/bushu HTTP/1.1" 200 539
0:0:0:0:0:0:0:1 - - [21/May/2017:15:49:11 +0800] "GET /hdfs_file_upload/bushu HTTP/1.1" 200 539
0:0:0:0:0:0:0:1 - - [21/May/2017:15:49:17 +0800] "GET /hdfs_file_upload/bushu HTTP/1.1" 200 539
0:0:0:0:0:0:0:1 - - [21/May/2017:15:49:17 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [21/May/2017:15:49:17 +0800] "GET /hdfs_file_upload/bushu HTTP/1.1" 200 539
0:0:0:0:0:0:0:1 - - [21/May/2017:15:49:18 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [21/May/2017:15:49:18 +0800] "GET /hdfs_file_upload/bushu HTTP/1.1" 200 539
0:0:0:0:0:0:0:1 - - [21/May/2017:15:49:18 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [21/May/2017:15:49:18 +0800] "GET /hdfs_file_upload/bushu HTTP/1.1" 200 539
0:0:0:0:0:0:0:1 - - [21/May/2017:15:49:18 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [21/May/2017:15:49:18 +0800] "GET /hdfs_file_upload/bushu HTTP/1.1" 200 539
0:0:0:0:0:0:0:1 - - [21/May/2017:15:49:18 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [21/May/2017:15:50:42 +0800] "GET /hdfs_file_upload/login HTTP/1.1" 200 3052
0:0:0:0:0:0:0:1 - - [21/May/2017:15:52:01 +0800] "GET /hdfs_file_upload/bushu HTTP/1.1" 200 578
0:0:0:0:0:0:0:1 - - [21/May/2017:15:52:01 +0800] "GET /hdfs_file_upload/bushu HTTP/1.1" 200 578
0:0:0:0:0:0:0:1 - - [21/May/2017:15:52:01 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [21/May/2017:15:53:51 +0800] "GET /hdfs_file_upload/bushu HTTP/1.1" 200 634
0:0:0:0:0:0:0:1 - - [21/May/2017:15:53:59 +0800] "GET /hdfs_file_upload/bushu HTTP/1.1" 200 634
0:0:0:0:0:0:0:1 - - [21/May/2017:15:54:14 +0800] "GET /hdfs_file_upload/bushu HTTP/1.1" 200 634
0:0:0:0:0:0:0:1 - - [21/May/2017:15:55:14 +0800] "GET /hdfs_file_upload/bushu HTTP/1.1" 200 630
0:0:0:0:0:0:0:1 - - [21/May/2017:15:55:14 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [21/May/2017:15:55:21 +0800] "GET /hdfs_file_upload/bushu HTTP/1.1" 200 630
0:0:0:0:0:0:0:1 - - [21/May/2017:15:55:21 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
